id,parent_id,name,bn_name
1,,Allergy and immunology,অ্যালার্জি এবং ইমিউনোলজি
2,,Anesthesiology,এনেস্থেসিওলজি
3,,Dermatology,চর্মরোগবিদ্যা
4,,Diagnostic radiology,ডায়াগনস্টিক রেডিওলজি
5,,Emergency medicine,জরুরী ঔষধ
6,,Family medicine,পরিবার ঔষধ
7,,Internal medicine,অভ্যন্তরীণ ঔষধ
8,,Medical genetics,মেডিকেল জেনেটিক্স
9,,Neurology,নিউরোলজি
10,,Nuclear medicine,পারমাণবিক ঔষধ
11,,Obstetrics and gynecology,ধাত্রীবিদ্যা ও স্ত্রীরোগবিদ্যা
12,,Ophthalmology,চক্ষুবিদ্যা
13,,Pathology,প্যাথলজি
14,,Pediatrics,পেডিয়াট্রিক্স
15,,Physical medicine and rehabilitation,শারীরিক ওষুধ এবং পুনর্বাসন
16,,Preventive medicine,প্রতিষেধক ঔষধ
17,,Psychiatry,মনোরোগবিদ্যা
18,,Radiation oncology,রেডিয়েশন অনকোলজি
19,,Surgery,সার্জারি
20,,Urology,ইউরোলজি
21,2,Critical care medicine,ক্রিটিক্যাল কেয়ার মেডিসিন
22,2,Hospice and palliative care,ধর্মশালা এবং উপশমকারী যত্ন
23,2,Pain medicine,ব্যথার ওষুধ
24,2,Pediatric anesthesiology,পেডিয়াট্রিক অ্যানাস্থেসিওলজি
25,2,Sleep medicine,ঘুমের ওষুধ
26,3,Dermatopathology,চর্মরোগবিদ্যা
27,3,Pediatric dermatology,পেডিয়াট্রিক ডার্মাটোলজি
28,3,Procedural dermatology,পদ্ধতিগত চর্মবিদ্যা
29,4,Abdominal radiology,পেটের রেডিওলজি
30,4,Breast imaging,স্তন ইমেজিং
31,4,Cardiothoracic radiology,কার্ডিওথোরাসিক রেডিওলজি
32,4,Cardiovascular radiology,কার্ডিওভাসকুলার রেডিওলজি
33,4,Chest radiology,বুকের রেডিওলজি
34,4,Emergency radiology,জরুরী রেডিওলজি
35,4,Endovascular surgical neuroradiology,এন্ডোভাসকুলার সার্জিক্যাল নিউরোডিওলজি
36,4,Gastrointestinal radiology,গ্যাস্ট্রোইনটেস্টাইনাল রেডিওলজি
37,4,Genitourinary radiology,জেনিটোরিনারি রেডিওলজি
38,4,Head and neck radiology,হেড এবং নেক রেডিওলজি
39,4,Interventional radiology,ইন্টারভেনশনাল রেডিওলজি
40,4,Musculoskeletal radiology,Musculoskeletal রেডিওলজি
41,4,Neuroradiology,নিউরোরাডিওলজি
42,4,Nuclear radiology,নিউক্লিয়ার রেডিওলজি
43,4,Pediatric radiology,পেডিয়াট্রিক রেডিওলজি
44,4,Radiation oncology,রেডিয়েশন অনকোলজি
45,4,Vascular and interventional radiology,ভাস্কুলার এবং ইন্টারভেনশনাল রেডিওলজি
46,5,Anesthesiology critical care medicine,এনেস্থেসিওলজি ক্রিটিক্যাল কেয়ার মেডিসিন
47,5,Emergency medical services,জরুরী চিকিৎসা সেবা
48,5,Hospice and palliative medicine,ধর্মশালা এবং উপশমকারী ওষুধ
49,5,Internal medicine / Critical care medicine,অভ্যন্তরীণ ওষুধ / ক্রিটিক্যাল কেয়ার মেডিসিন
50,5,Medical toxicology,মেডিকেল টক্সিকোলজি
51,5,Pain medicine,ব্যথার ওষুধ
52,5,Pediatric emergency medicine,পেডিয়াট্রিক জরুরী ঔষধ
53,5,Sports medicine,খেলাধুলার ওষুধ
54,5,Undersea and hyperbaric medicine,তলদেশ এবং হাইপারবারিক ঔষধ
55,6,Adolescent medicine,কৈশোরের ওষুধ
56,6,Geriatric medicine,জেরিয়াট্রিক ওষুধ
57,6,Hospice and palliative medicine,ধর্মশালা এবং উপশমকারী ওষুধ
58,6,Geriatric medicine,জেরিয়াট্রিক ওষুধ
59,6,Sleep medicine,ঘুমের ওষুধ
60,6,Sports medicine,খেলাধুলার ওষুধ
61,7,Advanced heart failure and transplant cardiology,উন্নত হার্ট ফেইলিওর এবং ট্রান্সপ্লান্ট কার্ডিওলজি
62,7,Cardiovascular disease,হৃদরোগের
63,7,Clinical cardiac electrophysiology,ক্লিনিকাল কার্ডিয়াক ইলেক্ট্রোফিজিওলজি
64,7,Critical care medicine,ক্রিটিক্যাল কেয়ার মেডিসিন
65,7,"Endocrinology, diabetes, and metabolism","এন্ডোক্রিনোলজি, ডায়াবেটিস এবং বিপাক"
66,7,Gastroenterology,গ্যাস্ট্রোএন্টারোলজি
67,7,Geriatric medicine,জেরিয়াট্রিক ওষুধ
68,7,Hematology,হেমাটোলজি
69,7,Hematology and oncology,হেমাটোলজি এবং অনকোলজি
70,7,Infectious disease,সংক্রামক রোগ
71,7,Internal medicine,অভ্যন্তরীণ ঔষধ
72,7,Interventional cardiology,ইন্টারভেনশনাল কার্ডিওলজি
73,7,Nephrology,নেফ্রোলজি
74,7,Oncology,অনকোলজি
75,7,Pediatric internal medicine,পেডিয়াট্রিক অভ্যন্তরীণ ওষুধ
76,7,Pulmonary disease,ফুসফুসের অসুখ
77,7,Pulmonary disease and critical care medicine,পালমোনারি ডিজিজ এবং ক্রিটিক্যাল কেয়ার মেডিসিন
78,7,Rheumatology,রিউমাটোলজি
79,7,Sleep medicine,ঘুমের ওষুধ
80,7,Sports medicine,খেলাধুলার ওষুধ
81,7,Transplant hepatology,ট্রান্সপ্ল্যান্ট হেপাটোলজি
82,8,Biochemical genetics,বায়োকেমিক্যাল জেনেটিক্স
83,8,Clinical cytogenetics,ক্লিনিকাল সাইটোজেনেটিক্স
84,8,Clinical genetics,ক্লিনিকাল জেনেটিক্স
85,8,Molecular genetic pathology,আণবিক জেনেটিক প্যাথলজি
86,9,Brain injury medicine,মস্তিষ্কের আঘাতের ওষুধ
87,9,Child neurology,শিশু নিউরোলজি
88,9,Clinical neurophysiology,ক্লিনিকাল নিউরোফিজিওলজি
89,9,Endovascular surgical neuroradiology,এন্ডোভাসকুলার সার্জিক্যাল নিউরোডিওলজি
90,9,Hospice and palliative medicine,ধর্মশালা এবং উপশমকারী ওষুধ
91,9,Neurodevelopmental disabilities,নিউরোডেভেলপমেন্টাল অক্ষমতা
92,9,Neuromuscular medicine,নিউরোমাসকুলার ঔষধ
93,9,Pain medicine,ব্যথার ওষুধ
94,9,Sleep medicine,ঘুমের ওষুধ
95,9,Vascular neurology,ভাস্কুলার নিউরোলজি
96,11,Female pelvic medicine and reconstructive surgery,মহিলা পেলভিক মেডিসিন এবং পুনর্গঠনমূলক সার্জারি
97,11,Gynecologic oncology,গাইনোকোলজিক অনকোলজি
98,11,Maternal-fetal medicine,মাতৃ-ভ্রূণের ওষুধ
99,11,Reproductive endocrinologists and infertility,প্রজনন এন্ডোক্রিনোলজিস্ট এবং বন্ধ্যাত্ব
100,12,Anterior segment/cornea ophthalmology,পূর্ববর্তী বিভাগ/কর্ণিয়া চক্ষুবিদ্যা
101,12,Glaucoma ophthalmology,গ্লুকোমা চক্ষুবিদ্যা
102,12,Neuro-ophthalmology,নিউরো-চক্ষুবিদ্যা
103,12,Ocular oncology,ওকুলার অনকোলজি
104,12,Oculoplastics/orbit,অকুলোপ্লাস্টিক/কক্ষপথ
105,12,Ophthalmic Plastic & Reconstructive Surgery,চক্ষু প্লাস্টিক এবং পুনর্গঠন সার্জারি
106,12,Retina/uveitis,রেটিনা/ইউভেইটিস
107,12,Strabismus/pediatric ophthalmology,স্ট্র্যাবিসমাস/পেডিয়াট্রিক চক্ষুবিদ্যা
108,13,Anatomical pathology,শারীরবৃত্তীয় প্যাথলজি
109,13,Blood banking and transfusion medicine,ব্লাড ব্যাঙ্কিং এবং ট্রান্সফিউশন মেডিসিন
110,13,Chemical pathology,রাসায়নিক প্যাথলজি
111,13,Clinical pathology,ক্লিনিকাল প্যাথলজি
112,13,Cytopathology,সাইটোপ্যাথলজি
113,13,Forensic pathology,ফরেনসিক রোগবিদ্যা
114,13,Genetic pathology,জেনেটিক প্যাথলজি
115,13,Hematology,হেমাটোলজি
116,13,Immunopathology,ইমিউনোপ্যাথোলজি
117,13,Medical microbiology,মেডিকেল মাইক্রোবায়োলজি
118,13,Molecular pathology,আণবিক প্যাথলজি
119,13,Neuropathology,নিউরোপ্যাথোলজি
120,13,Pediatric pathology,পেডিয়াট্রিক প্যাথলজি
121,14,Adolescent medicine,কৈশোরের ওষুধ
122,14,Child abuse pediatrics,শিশু নির্যাতন শিশুরোগ
123,14,Developmental-behavioral pediatrics,উন্নয়নমূলক-আচরণগত পেডিয়াট্রিক্স
124,14,Neonatal-perinatal medicine,নবজাতক-প্রসবকালীন ওষুধ
125,14,Pediatric cardiology,পেডিয়াট্রিক কার্ডিওলজি
126,14,Pediatric critical care medicine,পেডিয়াট্রিক ক্রিটিক্যাল কেয়ার মেডিসিন
127,14,Pediatric endocrinology,পেডিয়াট্রিক এন্ডোক্রিনোলজি
128,14,Pediatric gastroenterology,পেডিয়াট্রিক গ্যাস্ট্রোএন্টারোলজি
129,14,Pediatric hematology-oncology,পেডিয়াট্রিক হেমাটোলজি-অনকোলজি
130,14,Pediatric infectious diseases,শিশুদের সংক্রামক রোগ
131,14,Pediatric nephrology,পেডিয়াট্রিক নেফ্রোলজি
132,14,Pediatric pulmonology,পেডিয়াট্রিক পালমোনোলজি
133,14,Pediatric rheumatology,পেডিয়াট্রিক রিউমাটোলজি
134,14,Pediatric sports medicine,পেডিয়াট্রিক স্পোর্টস মেডিসিন
135,14,Pediatric transplant hepatology,পেডিয়াট্রিক ট্রান্সপ্ল্যান্ট হেপাটোলজি
136,15,Brain injury medicine,মস্তিষ্কের আঘাতের ওষুধ
137,15,Hospice and palliative medicine,ধর্মশালা এবং উপশমকারী ওষুধ
138,15,Neuromuscular medicine,নিউরোমাসকুলার ঔষধ
139,15,Pain medicine,ব্যথার ওষুধ
140,15,Pediatric rehabilitation medicine,পেডিয়াট্রিক পুনর্বাসন ওষুধ
141,15,Spinal cord injury medicine,মেরুদণ্ডের আঘাতের ওষুধ
142,15,Sports medicine,খেলাধুলার ওষুধ
143,16,Aerospace medicine,মহাকাশ ওষুধ
144,16,Medical toxicology,মেডিকেল টক্সিকোলজি
145,16,Occupational medicine,পেশাগত ঔষধ
146,16,Public health medicine,পাবলিক হেলথ মেডিসিন
147,17,Addiction psychiatry,আসক্তি মনোচিকিৎসা
148,17,Administrative psychiatry,প্রশাসনিক মনোরোগবিদ্যা
149,17,Child and adolescent psychiatry,শিশু এবং কিশোর মনোরোগবিদ্যা
150,17,Community psychiatry,কমিউনিটি সাইকিয়াট্রি
151,17,Consultation/liaison psychiatry,পরামর্শ/যোগাযোগ মনোরোগবিদ্যা
152,17,Emergency psychiatry,জরুরী মনোরোগ
153,17,Forensic psychiatry,ফরেনসিক সাইকিয়াট্রি
154,17,Geriatric psychiatry,জেরিয়াট্রিক সাইকিয়াট্রি
155,17,Mental retardation psychiatry,মানসিক প্রতিবন্ধী মনোচিকিৎসা
156,17,Military psychiatry,মিলিটারি সাইকিয়াট্রি
157,17,Pain medicine,ব্যথার ওষুধ
158,17,Psychiatric research,মনস্তাত্ত্বিক গবেষণা
159,17,Psychosomatic medicine,সাইকোসোমেটিক ঔষধ
160,18,Hospice and palliative medicine,ধর্মশালা এবং উপশমকারী ওষুধ
161,18,Pain medicine,ব্যথার ওষুধ
162,19,Colon and rectal surgery,কোলন এবং রেকটাল সার্জারি
163,19,General surgery,সাধারণ শল্য চিকিৎসা
164,19,Gynecologic oncology,গাইনোকোলজিক অনকোলজি
165,19,Plastic surgery,প্লাস্টিক সার্জারি
166,19,Neurological surgery,স্নায়বিক অস্ত্রোপচার
167,19,Ophthalmic surgery,চক্ষু সার্জারি
168,19,Oral and maxillofacial surgery,ওরাল এবং ম্যাক্সিলোফেসিয়াল সার্জারি
169,19,Orthopaedic surgery,অর্থোপেডিক সার্জারি
170,19,Otolaryngology,অটোলারিঙ্গোলজি
171,19,Otology neurotology,অটোলজি নিউরোটোলজি
172,19,Pediatric surgery,পেডিয়াট্রিক সার্জারি
173,19,"Surgical Intensivists, specializing in critical care patients","সার্জিক্যাল ইনটেনসিভিস্ট, ক্রিটিক্যাল কেয়ার রোগীদের বিশেষজ্ঞ"
174,19,Thoracic Surgery,থোরাসিক সার্জারি
175,19,Vascular surgery,রক্তনালীর শল্যচিকিৎসা
176,20,Pediatric urology,পেডিয়াট্রিক ইউরোলজি
177,20,Urologic oncology,ইউরোলজিক অনকোলজি
178,20,Renal transplant,রেনাল ট্রান্সপ্লান্ট
179,20,Male infertility,পুরুষ বন্ধ্যাত্ব
180,20,Calculi,ক্যালকুলী
181,20,Female urology,মহিলা ইউরোলজি
182,20,Neurourology,নিউরোলজি
183,163,Surgical critical care,সার্জিক্যাল ক্রিটিক্যাল কেয়ার
184,165,Craniofacial surgery,ক্র্যানিওফেসিয়াল সার্জারি
185,165,Hand surgery,হাতের অস্ত্রোপচার
186,166,Endovascular surgical neuroradiology,এন্ডোভাসকুলার সার্জিক্যাল নিউরোডিওলজি
187,169,Adult reconstructive orthopaedics,প্রাপ্তবয়স্ক পুনর্গঠনমূলক অর্থোপেডিকস
188,169,Foot and ankle orthopaedics,পা এবং গোড়ালি অর্থোপেডিকস
189,169,Musculoskeletal oncology,Musculoskeletal অনকোলজি
190,169,Orthopaedic sports medicine,অর্থোপেডিক ক্রীড়া ঔষধ
191,169,Orthopaedic surgery of the spine,মেরুদণ্ডের অর্থোপেডিক সার্জারি
206,169,Orthopaedic trauma,অর্থোপেডিক ট্রমা
207,169,Pediatric orthopaedics,পেডিয়াট্রিক অর্থোপেডিকস
208,170,Pediatric otolaryngology,পেডিয়াট্রিক অটোল্যারিঙ্গোলজি
209,172,Neonatal,নবজাতক
192,172,Prenatal,জন্মপূর্ব
193,172,Trauma,ট্রমা
194,172,Pediatric oncology,পেডিয়াট্রিক অনকোলজি
195,174,Congenital cardiac surgery,জন্মগত কার্ডিয়াক সার্জারি
196,174,Thoracic surgery-integrated,থোরাসিক সার্জারি-ইন্টিগ্রেটেড